Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20083636","Bacteria;Proteobacteria;Gammaproteobacteria","SA20083636","SAMN02384211","PRJNA219482","GCA_000623515.2"," Chromosome",4.68566,52.2,"chromosome:NZ_CP007294.2/CP007294.2",,1,4501,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/515/GCA_000623515.2_ASM62351v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/515/GCF_000623515.2_ASM62351v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20084384","Bacteria;Proteobacteria;Gammaproteobacteria","SA20084384","SAMN02384198","PRJNA219482","GCA_000623535.2"," Chromosome",4.68639,52.2,"chromosome:NZ_CP007295.2/CP007295.2",,1,4451,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/535/GCA_000623535.2_ASM62353v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/535/GCF_000623535.2_ASM62353v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA19930684","Bacteria;Proteobacteria;Gammaproteobacteria","SA19930684","SAMN02384221","PRJNA219482","GCA_000623555.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007277.2/CP007277.2",,1,4448,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/555/GCA_000623555.2_ASM62355v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/555/GCF_000623555.2_ASM62355v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA19942384","Bacteria;Proteobacteria;Gammaproteobacteria","SA19942384","SAMN02384214","PRJNA219482","GCA_000623575.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007278.2/CP007278.2",,1,4448,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/575/GCA_000623575.2_ASM62357v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/575/GCF_000623575.2_ASM62357v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA19943269","Bacteria;Proteobacteria;Gammaproteobacteria","SA19943269","SAMN02384215","PRJNA219482","GCA_000623595.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007279.2/CP007279.2",,1,4446,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/595/GCA_000623595.2_ASM62359v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/595/GCF_000623595.2_ASM62359v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA19961622","Bacteria;Proteobacteria;Gammaproteobacteria","SA19961622","SAMN02384218","PRJNA219482","GCA_000623635.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007281.2/CP007281.2",,1,4446,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/635/GCA_000623635.2_ASM62363v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/635/GCF_000623635.2_ASM62363v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA19971331","Bacteria;Proteobacteria;Gammaproteobacteria","SA19971331","SAMN02384217","PRJNA219482","GCA_000623695.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007284.2/CP007284.2",,1,4448,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/695/GCA_000623695.2_ASM62369v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/695/GCF_000623695.2_ASM62369v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090135","Bacteria;Proteobacteria;Gammaproteobacteria","EC20090135","SAMN02384181","PRJNA219482","GCA_000623755.2"," Chromosome",4.68654,52.2,"chromosome:NZ_CP007320.2/CP007320.2",,1,4447,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/755/GCA_000623755.2_ASM62375v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/755/GCF_000623755.2_ASM62375v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090193","Bacteria;Proteobacteria;Gammaproteobacteria","EC20090193","SAMN02384180","PRJNA219482","GCA_000623775.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007321.2/CP007321.2",,1,4452,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/775/GCA_000623775.2_ASM62377v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/775/GCF_000623775.2_ASM62377v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090332","Bacteria;Proteobacteria;Gammaproteobacteria","EC20090332","SAMN02384182","PRJNA219482","GCA_000623795.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007322.2/CP007322.2",,1,4454,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/795/GCA_000623795.2_ASM62379v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/795/GCF_000623795.2_ASM62379v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20090877","Bacteria;Proteobacteria;Gammaproteobacteria","SA20090877","SAMN02384242","PRJNA219482","GCA_000623815.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007300.2/CP007300.2",,1,4445,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/815/GCA_000623815.2_ASM62381v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/815/GCF_000623815.2_ASM62381v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20091739","Bacteria;Proteobacteria;Gammaproteobacteria","SA20091739","SAMN02384244","PRJNA219482","GCA_000623835.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007301.2/CP007301.2",,1,4449,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/835/GCA_000623835.2_ASM62383v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/835/GCF_000623835.2_ASM62383v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093421","Bacteria;Proteobacteria;Gammaproteobacteria","SA20093421","SAMN02384235","PRJNA219482","GCA_000623855.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007302.2/CP007302.2",,1,4447,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/855/GCA_000623855.2_ASM62385v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/855/GCF_000623855.2_ASM62385v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093430","Bacteria;Proteobacteria;Gammaproteobacteria","SA20093430","SAMN02384233","PRJNA219482","GCA_000623875.2"," Chromosome",4.6859,52.2,"chromosome:NZ_CP007303.2/CP007303.2",,1,4447,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/875/GCA_000623875.2_ASM62387v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/875/GCF_000623875.2_ASM62387v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093538","Bacteria;Proteobacteria;Gammaproteobacteria","SA20093538","SAMN02384243","PRJNA219482","GCA_000623895.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007304.2/CP007304.2",,1,4449,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/895/GCA_000623895.2_ASM62389v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/895/GCF_000623895.2_ASM62389v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093543","Bacteria;Proteobacteria;Gammaproteobacteria","SA20093543","SAMN02384241","PRJNA219482","GCA_000623915.2"," Chromosome",4.68591,52.2,"chromosome:NZ_CP007305.2/CP007305.2",,1,4450,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/915/GCA_000623915.2_ASM62391v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/915/GCF_000623915.2_ASM62391v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093784","Bacteria;Proteobacteria;Gammaproteobacteria","SA20093784","SAMN02384230","PRJNA219482","GCA_000623935.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007306.2/CP007306.2",,1,4449,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/935/GCA_000623935.2_ASM62393v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/935/GCF_000623935.2_ASM62393v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093788","Bacteria;Proteobacteria;Gammaproteobacteria","SA20093788","SAMN02384232","PRJNA219482","GCA_000623955.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007307.2/CP007307.2",,1,4448,"2014-04-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/955/GCA_000623955.2_ASM62395v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/955/GCF_000623955.2_ASM62395v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093950","Bacteria;Proteobacteria;Gammaproteobacteria","SA20093950","SAMN02384240","PRJNA219482","GCA_000623975.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007308.2/CP007308.2",,1,4447,"2014-04-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/975/GCA_000623975.2_ASM62397v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/975/GCF_000623975.2_ASM62397v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093977","Bacteria;Proteobacteria;Gammaproteobacteria","SA20093977","SAMN02384231","PRJNA219482","GCA_000623995.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007309.2/CP007309.2",,1,4448,"2014-04-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/623/995/GCA_000623995.2_ASM62399v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/623/995/GCF_000623995.2_ASM62399v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094079","Bacteria;Proteobacteria;Gammaproteobacteria","SA20094079","SAMN02384245","PRJNA219482","GCA_000624015.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007310.2/CP007310.2",,1,4450,"2014-04-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/015/GCA_000624015.2_ASM62401v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/015/GCF_000624015.2_ASM62401v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094350","Bacteria;Proteobacteria;Gammaproteobacteria","SA20094350","SAMN02384225","PRJNA219482","GCA_000624035.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007311.2/CP007311.2",,1,4453,"2014-04-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/035/GCA_000624035.2_ASM62403v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/035/GCF_000624035.2_ASM62403v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094383","Bacteria;Proteobacteria;Gammaproteobacteria","SA20094383","SAMN02384237","PRJNA219482","GCA_000624075.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007313.2/CP007313.2",,1,4448,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/075/GCA_000624075.2_ASM62407v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/075/GCF_000624075.2_ASM62407v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094389","Bacteria;Proteobacteria;Gammaproteobacteria","SA20094389","SAMN02384236","PRJNA219482","GCA_000624095.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007314.2/CP007314.2",,1,4447,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/095/GCA_000624095.2_ASM62409v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/095/GCF_000624095.2_ASM62409v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094521","Bacteria;Proteobacteria;Gammaproteobacteria","SA20094521","SAMN02384205","PRJNA219482","GCA_000624115.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007315.2/CP007315.2",,1,4448,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/115/GCA_000624115.2_ASM62411v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/115/GCF_000624115.2_ASM62411v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094642","Bacteria;Proteobacteria;Gammaproteobacteria","SA20094642","SAMN02384239","PRJNA219482","GCA_000624135.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007316.2/CP007316.2",,1,4451,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/135/GCA_000624135.2_ASM62413v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/135/GCF_000624135.2_ASM62413v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120916","Bacteria;Proteobacteria;Gammaproteobacteria","EC20120916","SAMN02384291","PRJNA219482","GCA_000624155.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007332.2/CP007332.2",,1,4435,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/155/GCA_000624155.2_ASM62415v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/155/GCF_000624155.2_ASM62415v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20092320","Bacteria;Proteobacteria;Gammaproteobacteria","SA20092320","SAMN02384229","PRJNA219482","GCA_000624195.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007334.2/CP007334.2",,1,4448,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/195/GCA_000624195.2_ASM62419v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/195/GCF_000624195.2_ASM62419v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094803","Bacteria;Proteobacteria;Gammaproteobacteria","SA20094803","SAMN02384224","PRJNA219482","GCA_000624215.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007317.2/CP007317.2",,1,4452,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/215/GCA_000624215.2_ASM62421v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/215/GCF_000624215.2_ASM62421v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20095309","Bacteria;Proteobacteria;Gammaproteobacteria","SA20095309","SAMN02384228","PRJNA219482","GCA_000624235.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007318.2/CP007318.2",,1,4450,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/235/GCA_000624235.2_ASM62423v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/235/GCF_000624235.2_ASM62423v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. SA20095440","Bacteria;Proteobacteria;Gammaproteobacteria","SA20095440","SAMN02384213","PRJNA219482","GCA_000624255.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007319.1/CP007319.2",,1,4499,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/255/GCA_000624255.2_ASM62425v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/255/GCF_000624255.1_ASM62425v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110222","Bacteria;Proteobacteria;Gammaproteobacteria","EC20110222","SAMN02384175","PRJNA219482","GCA_000624275.2"," Chromosome",4.6862,52.2,"chromosome:NZ_CP007323.2/CP007323.2",,1,4448,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/275/GCA_000624275.2_ASM62427v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/275/GCF_000624275.2_ASM62427v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111514","Bacteria;Proteobacteria;Gammaproteobacteria","EC20111514","SAMN02384260","PRJNA219482","GCA_000624295.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007324.2/CP007324.2",,1,4449,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/295/GCA_000624295.2_ASM62429v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/295/GCF_000624295.2_ASM62429v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111515","Bacteria;Proteobacteria;Gammaproteobacteria","EC20111515","SAMN02384259","PRJNA219482","GCA_000624315.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007325.2/CP007325.2",,1,4445,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/315/GCA_000624315.2_ASM62431v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/315/GCF_000624315.2_ASM62431v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111554","Bacteria;Proteobacteria;Gammaproteobacteria","EC20111554","SAMN02384288","PRJNA219482","GCA_000624335.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007326.2/CP007326.2",,1,4446,"2014-04-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/335/GCA_000624335.2_ASM62433v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/335/GCF_000624335.2_ASM62433v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111561","Bacteria;Proteobacteria;Gammaproteobacteria","EC20111561","SAMN02384293","PRJNA219482","GCA_000624355.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007327.2/CP007327.2",,1,4451,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/355/GCA_000624355.2_ASM62435v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/355/GCF_000624355.2_ASM62435v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111576","Bacteria;Proteobacteria;Gammaproteobacteria","EC20111576","SAMN02384256","PRJNA219482","GCA_000624375.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007328.2/CP007328.2",,1,4444,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/375/GCA_000624375.2_ASM62437v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/375/GCF_000624375.2_ASM62437v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120003","Bacteria;Proteobacteria;Gammaproteobacteria","EC20120003","SAMN02384188","PRJNA219482","GCA_000624415.2"," Chromosome",4.68597,52.2,"chromosome:NZ_CP007330.2/CP007330.2",,1,4451,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/415/GCA_000624415.2_ASM62441v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/415/GCF_000624415.2_ASM62441v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120007","Bacteria;Proteobacteria;Gammaproteobacteria","EC20120007","SAMN02384190","PRJNA219482","GCA_000624435.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007331.2/CP007331.2",,1,4451,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/435/GCA_000624435.2_ASM62443v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/435/GCF_000624435.2_ASM62443v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120213","Bacteria;Proteobacteria;Gammaproteobacteria","EC20120213","SAMN02384249","PRJNA219482","GCA_000624455.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007344.2/CP007344.2",,1,4450,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/455/GCA_000624455.2_ASM62445v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/455/GCF_000624455.2_ASM62445v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120219","Bacteria;Proteobacteria;Gammaproteobacteria","EC20120219","SAMN02384269","PRJNA219482","GCA_000624475.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007345.2/CP007345.2",,1,4447,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/475/GCA_000624475.2_ASM62447v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/475/GCF_000624475.2_ASM62447v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120229","Bacteria;Proteobacteria;Gammaproteobacteria","EC20120229","SAMN02384268","PRJNA219482","GCA_000624495.2"," Chromosome",4.68583,52.2,"chromosome:NZ_CP007346.2/CP007346.2",,1,4448,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/495/GCA_000624495.2_ASM62449v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/495/GCF_000624495.2_ASM62449v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120240","Bacteria;Proteobacteria;Gammaproteobacteria","EC20120240","SAMN02384267","PRJNA219482","GCA_000624515.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007347.2/CP007347.2",,1,4448,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/515/GCA_000624515.2_ASM62451v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/515/GCF_000624515.2_ASM62451v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120356","Bacteria;Proteobacteria;Gammaproteobacteria","EC20120356","SAMN02384323","PRJNA219482","GCA_000624535.2"," Chromosome",4.68619,52.2,"chromosome:NZ_CP007348.2/CP007348.2",,1,4450,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/535/GCA_000624535.2_ASM62453v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/535/GCF_000624535.2_ASM62453v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120469","Bacteria;Proteobacteria;Gammaproteobacteria","EC20120469","SAMN02384273","PRJNA219482","GCA_000624555.2"," Chromosome",4.68584,52.2,"chromosome:NZ_CP007349.2/CP007349.2",,1,4449,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/555/GCA_000624555.2_ASM62455v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/555/GCF_000624555.2_ASM62455v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120496","Bacteria;Proteobacteria;Gammaproteobacteria","EC20120496","SAMN02384277","PRJNA219482","GCA_000624575.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007350.2/CP007350.2",,1,4450,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/575/GCA_000624575.2_ASM62457v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/575/GCF_000624575.2_ASM62457v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120497","Bacteria;Proteobacteria;Gammaproteobacteria","EC20120497","SAMN02384289","PRJNA219482","GCA_000624595.2"," Chromosome",4.68585,52.2,"chromosome:NZ_CP007351.2/CP007351.2",,1,4445,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/595/GCA_000624595.2_ASM62459v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/595/GCF_000624595.2_ASM62459v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120498","Bacteria;Proteobacteria;Gammaproteobacteria","EC20120498","SAMN02384266","PRJNA219482","GCA_000624615.2"," Chromosome",4.68583,52.2,"chromosome:NZ_CP007352.2/CP007352.2",,1,4445,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/615/GCA_000624615.2_ASM62461v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/615/GCF_000624615.2_ASM62461v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120505","Bacteria;Proteobacteria;Gammaproteobacteria","EC20120505","SAMN02384265","PRJNA219482","GCA_000624635.2"," Chromosome",4.68583,52.2,"chromosome:NZ_CP007353.2/CP007353.2",,1,4447,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/635/GCA_000624635.2_ASM62463v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/635/GCF_000624635.2_ASM62463v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120528","Bacteria;Proteobacteria;Gammaproteobacteria","EC20120528","SAMN02384258","PRJNA219482","GCA_000624655.2"," Chromosome",4.68583,52.2,"chromosome:NZ_CP007354.2/CP007354.2",,1,4450,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/655/GCA_000624655.2_ASM62465v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/655/GCF_000624655.2_ASM62465v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120994","Bacteria;Proteobacteria;Gammaproteobacteria","EC20120994","SAMN02384290","PRJNA219482","GCA_000624675.2"," Chromosome",4.6864,52.2,"chromosome:NZ_CP007365.1/CP007365.2",,1,4446,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/675/GCA_000624675.2_ASM62467v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/675/GCF_000624675.1_ASM62467v2"
"Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121004","Bacteria;Proteobacteria;Gammaproteobacteria","EC20121004","SAMN02384251","PRJNA219482","GCA_000624695.2"," Chromosome",4.68583,52.2,"chromosome:NZ_CP007366.1/CP007366.2",,1,4448,"2014-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/624/695/GCA_000624695.2_ASM62469v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/624/695/GCF_000624695.1_ASM62469v2"
